Do you consider technologically equipped students better peformances? What is your basis?,"No.  That’s akin to saying a player with the fancier socks is a better baller.
I’ll use your ill-worded question as an example. Doesn't your device have spellcheck? Giving a wrench to a baboon doesn’t make him a mechanic. 
I know people who are more impressive with a pencil than others are with a laptop."
,"Yes and no. It is good to have the technology for resource and research, but a total reliance on it is destroying students ability for critical thinking. It is also eliminating a lot of students imagination. They are so quick to turn on a machine to see if something exist or would rather watch a movie than read a book. Books allow one's mind to create the world in which the book takes place. A movie is someone else's vision."
,"If a student uses, for example, a calculator/computer for all mathematical classes, he/she may get great marks, and the argument is that in industry they will be able to use the calculators. But, if someone asks them how much pie is left, they cannot tell, unless they count the pieces cut. If the pie is half there, can they relate that to 1/2? Can they estimate if all they do is use a calculator/computer?  (this answer came out poorly, but hopefully you get what I am saying)"
What do I do? my crazy dysfunctional family is coming down and I don't want to deal with it. I feel stressed and I just want this to be over so ican see my doctor in Monday and feel better so how do I deal with this? Am I going to be alright?,Ignore them as much as possible. Put yourself in your Happy zone and don't let them get to you.  It's only two days you can do this.
,"There is no law that says you must admit family in to your house.  Nor that you have to put up with their crap, if you choose to admit them to your residence.
Remember: Your house, your rules."
,You can always hide out in your room also. YOUR mental health is more important then being sociable with them. You are not responsible for THEIR happiness! Just as they cant be held responsible for your UNhappiness. I'd take a mini vacation in your room.
,"Write a story plot for a television series.
Tell you a secret. You are not alone...everyone's family is dysfunctional to some extent."
,"It might be an unpleasant visit, but I am confident you are going to be alright.
Try to engage (interact ) with them as little as possible with regard to any discussions beyond the current weather and ""Good morning/evening, etc.,""
Be sure you keep appropriate boundaries that will protect you.  You come first this weekend."
Its national shortbread day. National technology day.and national cuddle up day. So i cuddle up with motormouth kitty who do u cuddle up with????????????????????????????,"My comfort kitty.
I love shortbread. Especially dipped in milk chocolate. Yummy!!"
,"Shortbread cookies are great.
I'm cuddling with the grandpuppy today."
,"I am one lucky Mama! I still have cuddlers! And Yang has no choice but to have this big ol' mama bear attached to his back! Lol!
I am short and I like bread... But I don't think I ever had shortbread. If I did it didn't impress me. Lol!!!!"
,"I love shortbread, am technologically challenged, and regularly cuddle with both my daughter and our dog Lucy. "
,"I like shortbread. I have a bunch of new technology I am trying to figure out. And cuddles abound in my house, with Skulky, Arabella, and the hubs."
"Hey, I’m 14 and i would love to start ballet and hopefull start pointe soon, am i too old for it? And how long would it take?","It is never too late to start something you like. As to how long before you can start pointe...It won't happen as quickly as I am sure you would like. Ballet is a lot of work. You really need to get the basics down before advancing to pointe. It will depend on how much work you are willing to put in and how much natural talent you have. I know ballet dancers make it look incredibly easy, but it is hours of hard work and dedication.  I am not saying this to discourage you, but so you know gojng in what to expect. Take a beginner class and focus on that. Give it your heart and soul, and then see how you progress. Good luck! I loved dance when I was younger. I  hope you enjoy is as much."
Do you consider technologically equipped students better peformances? What is your basis?,"No.  That’s akin to saying a player with the fancier socks is a better baller.
I’ll use your ill-worded question as an example. Doesn't your device have spellcheck? Giving a wrench to a baboon doesn’t make him a mechanic. 
I know people who are more impressive with a pencil than others are with a laptop."
,"Yes and no. It is good to have the technology for resource and research, but a total reliance on it is destroying students ability for critical thinking. It is also eliminating a lot of students imagination. They are so quick to turn on a machine to see if something exist or would rather watch a movie than read a book. Books allow one's mind to create the world in which the book takes place. A movie is someone else's vision."
,"If a student uses, for example, a calculator/computer for all mathematical classes, he/she may get great marks, and the argument is that in industry they will be able to use the calculators. But, if someone asks them how much pie is left, they cannot tell, unless they count the pieces cut. If the pie is half there, can they relate that to 1/2? Can they estimate if all they do is use a calculator/computer?  (this answer came out poorly, but hopefully you get what I am saying)"
